Party,Candidate Name,Candidate ID,Committee ID
D,Amy Klobuchar,P80006117,C00696419
D,Andrew Yang,P00006486,C00659938
D,Bernie Sanders,P60007168,C00696948
D,Beto O'Rourke,P00010793,C00699090
D,Bill de Blasio,P00012054,C00706697
D,Cory Booker,P00009795,C00695510
R,Donald Trump,P80001571,C00580100
D,Elizabeth Warren,P00009621,C00693234
D,Eric Swalwell,P00011312,C00701698
D,Jay Inslee,P00010454,C00698050
D,Joe Biden,P80000722,C00703975
D,John Delaney,P00006213,C00508416
D,John Hickenlooper,P00010520,C00698258
D,Julián Castro,P00009092,C00693044
D,Kamala Harris,P00009423,C00694455
D,Kirsten Gillibrand,P00009290,C00694018
D,Marianne Williamson,P00009910,C00696054
D,Michael Bennet,P00011833,C00705186
D,Mike Gravel,P00011254,C00700609
D,Pete Buttigieg,P00010298,C00697441
D,Seth Moulton,P00011866,C00704510
D,Steve Bullock,P00011999,C00706416
D,Tim Ryan,P00011338,C00701979
D,Tulsi Gabbard,P00009183,C00693713
D,Wayne Messam,P00010827,C00699280
